Gene stable ID	Karyotype band	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	HGNC ID	HGNC symbol
ENSG00000184194	p11.22	X	53048789	53080615	HGNC:18186	GPR173
ENSG00000270497	p11.22	X	53065053	53065548		
ENSG00000184205	p11.22	X	53082367	53088540	HGNC:24358	TSPYL2
ENSG00000234019	p11.22	X	53093710	53094858		
ENSG00000232593	p11.22	X	53094145	53170914	HGNC:49510	KANTR
ENSG00000235224	p11.22	X	53113018	53113274		
ENSG00000231340	p11.22	X	53142832	53143913	HGNC:155	ACTG1P10
ENSG00000227329	p11.22	X	53164391	53164557		
ENSG00000126012	p11.22	X	53191321	53225422	HGNC:11114	KDM5C
ENSG00000276575	p11.22	X	53195411	53195488	HGNC:50210	MIR6895
ENSG00000277474	p11.22	X	53198889	53198945	HGNC:49938	MIR6894
ENSG00000235262	p11.22	X	53212408	53214679	HGNC:41384	KDM5C-IT1
ENSG00000124313	p11.22	X	53225828	53321350	HGNC:29059	IQSEC2
ENSG00000226299	p11.22	X	53322990	53323822	HGNC:35583	RPSAP62
ENSG00000207408	p11.22	X	53324562	53324674		
ENSG00000236571	p11.22	X	53337783	53337973		
ENSG00000234413	p11.22	X	53340986	53341505		
ENSG00000072501	p11.22	X	53374149	53422728	HGNC:11111	SMC1A
ENSG00000278204	p11.22	X	53405673	53405765	HGNC:50263	MIR6857
ENSG00000158423	p11.22	X	53422690	53431120	HGNC:26537	RIBC1
ENSG00000072506	p11.22	X	53431258	53434370	HGNC:4800	HSD17B10
ENSG00000233250	p11.22	X	53432722	53433032		
ENSG00000235416	p11.22	X	53456273	53457029		
ENSG00000199422	p11.22	X	53462209	53462310	HGNC:23027	VTRNA3-1P
ENSG00000086758	p11.22	X	53532096	53686728	HGNC:30892	HUWE1
ENSG00000271886	p11.22	X	53556223	53556341	HGNC:31649	MIR98
ENSG00000208012	p11.22	X	53557192	53557274	HGNC:31484	MIRLET7F2
ENSG00000224735	p11.22	X	53759026	53759204		
ENSG00000226110	p11.22	X	53768986	53769219		
ENSG00000229037	p11.22	X	53807776	53808623		
ENSG00000235916	p11.22	X	53825887	53826309		
ENSG00000201618	p11.22	X	53909054	53909161	HGNC:43405	RNA5SP505
ENSG00000172943	p11.22	X	53936676	54048958	HGNC:20672	PHF8
ENSG00000184083	p11.22	X	54068324	54183281	HGNC:16949	FAM120C
ENSG00000224949	p11.22	X	54147372	54147659		
ENSG00000196632	p11.22	X	54192823	54358642	HGNC:14543	WNK3
ENSG00000234566	p11.22	X	54223324	54224062	HGNC:35754	RPL7AP71
ENSG00000207104	p11.22	X	54343546	54343652	HGNC:47397	RNU6-434P
ENSG00000158526	p11.22	X	54440404	54448032	HGNC:25455	TSR2
ENSG00000102302	p11.22	X	54445454	54496234	HGNC:3663	FGD1
ENSG00000130119	p11.22	X	54530183	54621521	HGNC:25553	GNL3L
ENSG00000215197	p11.22	X	54671985	54672638	HGNC:42465	PGAM4P1
ENSG00000102313	p11.22	X	54748918	54798255	HGNC:28907	ITIH6
ENSG00000102316	p11.21	X	54807599	54816015	HGNC:16353	MAGED2
ENSG00000221716	p11.21	X	54814370	54814497	HGNC:32599	SNORA11
ENSG00000275387	p11.21	X	54842014	54842134		
ENSG00000067445	p11.21	X	54920462	54931431	HGNC:12326	TRO
ENSG00000221750	p11.21	X	54927305	54927433	HGNC:52190	SNORA11G
ENSG00000158571	p11.21	X	54932961	54998534	HGNC:8872	PFKFB1
ENSG00000169188	p11.21	X	55000363	55009057	HGNC:17889	APEX2
ENSG00000158578	p11.21	X	55009055	55030977	HGNC:397	ALAS2
ENSG00000278283	p11.21	X	55044749	55045121		
ENSG00000234466	p11.21	X	55054945	55055838		
ENSG00000238269	p11.21	X	55075030	55078909	HGNC:31805	PAGE2B
ENSG00000234068	p11.21	X	55089018	55092842	HGNC:31804	PAGE2
ENSG00000278319	p11.21	X	55101637	55102026		
ENSG00000276929	p11.21	X	55137930	55142433		
ENSG00000182518	p11.21	X	55143102	55161310	HGNC:25085	FAM104B
ENSG00000186678	p11.21	X	55172717	55176026		
ENSG00000229760	p11.21	X	55178207	55178737	HGNC:52117	MTCO1P52
ENSG00000231947	p11.21	X	55179194	55179999	HGNC:42125	MTND2P24
ENSG00000238047	p11.21	X	55180377	55181277	HGNC:42079	MTND1P30
ENSG00000256045	p11.21	X	55181392	55182442	HGNC:37167	MTRNR2L10
ENSG00000158639	p11.21	X	55220355	55224108	HGNC:29992	PAGE5
ENSG00000204279	p11.21	X	55258412	55264846	HGNC:4110	PAGE3
ENSG00000232765	p11.21	X	55279839	55288785		
ENSG00000266328	p11.21	X	55451495	55451582	HGNC:43525	MIR4536-2
ENSG00000283334	p11.21	X	55451495	55451582	HGNC:41730	MIR4536-1
ENSG00000187601	p11.21	X	55452127	55453566	HGNC:24092	MAGEH1
ENSG00000247746	p11.21	X	55484616	55489202	HGNC:23086	USP51
ENSG00000277516	p11.21	X	55520382	55520714		
ENSG00000200635	p11.21	X	55582733	55582834		
ENSG00000235136	p11.21	X	55599663	55600106		
ENSG00000189299	p11.21	X	55623400	55626192	HGNC:30469	FOXR2
ENSG00000229594	p11.21	X	55633031	55635656		
ENSG00000169164	p11.21	X	55654709	55657014		
ENSG00000083750	p11.21	X	55717749	55758774	HGNC:19901	RRAGB
ENSG00000227486	p11.21	X	55908123	56209271		
ENSG00000214745	p11.21	X	55961208	55962482		
ENSG00000102349	p11.21	X	56232356	56291531	HGNC:6351	KLF8
ENSG00000234135	p11.21	X	56242937	56243409	HGNC:35846	RPL23AP83
ENSG00000188021	p11.21	X	56563627	56567868	HGNC:12509	UBQLN2
ENSG00000230105	p11.21	X	56618391	56624458		
ENSG00000204272	p11.21	X	56729241	56819179	HGNC:50713	NBDY
ENSG00000237748	p11.21	X	56737242	56737577	HGNC:12583	UQCRBP1
ENSG00000204271	p11.21	X	56818298	56995827	HGNC:27272	SPIN3
ENSG00000224799	p11.21	X	56973510	56974796		
ENSG00000237708	p11.21	X	57068914	57069685		
ENSG00000186787	p11.21	X	57118551	57121546	HGNC:33147	SPIN2B
ENSG00000226310	p11.21	X	57121662	57127243		
ENSG00000147059	p11.21	X	57134530	57137625	HGNC:20694	SPIN2A
ENSG00000286977	p11.21	X	57222706	57224791		
ENSG00000231765	p11.21	X	57229034	57229415	HGNC:16327	PPP1R11P2
ENSG00000165591	p11.21	X	57286706	57489196	HGNC:26440	FAAH2
ENSG00000231831	p11.21	X	57392646	57395409	HGNC:7433	MTHFD1P1
ENSG00000198455	p11.21	X	57591652	57597545	HGNC:13199	ZXDB
ENSG00000215174	p11.21	X	57677067	57680260	HGNC:29887	NLRP2B
ENSG00000227427	p11.21	X	57766320	57767292		
ENSG00000198205	p11.21	X	57906708	57910820	HGNC:13198	ZXDA
ENSG00000228004	p11.21	X	57933837	57934803	HGNC:48924	MYCLP2
ENSG00000235124	p11.21	X	57984686	57986133	HGNC:33369	KRT8P17
ENSG00000236852	q11.1	X	62779250	62780326		
ENSG00000235170	q11.1	X	62842542	62843502	HGNC:42080	MTND1P31
ENSG00000228182	q11.1	X	62843697	62844306	HGNC:42126	MTND2P25
ENSG00000234570	q11.1	X	62878811	62884842	HGNC:38030	ZFRP1
ENSG00000277499	q11.1	X	63087071	63088664		
ENSG00000235437	q11.1	X	63222993	63561095	HGNC:28090	LINC01278
ENSG00000230823	q11.1	X	63299247	63299673	HGNC:38655	CBX1P1
ENSG00000186767	q11.1	X	63347228	63351332	HGNC:27040	SPIN4
ENSG00000233661	q11.1	X	63349646	63352178	HGNC:41177	SPIN4-AS1
ENSG00000131089	q11.2	X	63634967	63809274	HGNC:14561	ARHGEF9
ENSG00000231729	q11.1	X	63670196	63671502	HGNC:41401	ARHGEF9-IT1
ENSG00000236813	q11.1	X	63766875	63767400	HGNC:38572	BTF3P8
ENSG00000222532	q11.1	X	63786002	63786087	HGNC:35250	MIR1468
ENSG00000232794	q11.2	X	64044305	64045058	HGNC:5038	HNRNPDP1
ENSG00000226010	q11.2	X	64144872	64147052		
ENSG00000184675	q11.2	X	64185117	64205708	HGNC:26837	AMER1
ENSG00000287370	q11.2	X	64205974	64233855		
ENSG00000244006	q11.2	X	64210691	64210988	HGNC:46815	RN7SL799P
ENSG00000198881	q11.2	X	64224194	64230607	HGNC:19763	ASB12
ENSG00000102043	q11.2	X	64268081	64395452	HGNC:16825	MTMR8
ENSG00000213754	q11.2	X	64305047	64306733		
ENSG00000283349	q11.2	X	64405473	64406136	HGNC:53808	PFN5P
ENSG00000230889	q11.2	X	64432401	64434145	HGNC:10841	SHC1P1
ENSG00000227261	q11.2	X	64612632	64613262	HGNC:39028	YWHAZP7
ENSG00000226502	q11.2	X	64623117	64624573	HGNC:33379	KRT8P27
ENSG00000225814	q11.2	X	64697878	64698547	HGNC:41970	GRPEL2P2
ENSG00000236982	q11.2	X	64726748	64727048	HGNC:51427	BLOC1S2P1
ENSG00000126970	q11.2	X	64915802	65034713	HGNC:24931	ZC4H2
ENSG00000237971	q11.2	X	65185018	65187265		
ENSG00000225569	q11.2	X	65270913	65273019	HGNC:35141	CCT4P2
ENSG00000231857	q11.2	X	65327988	65331233	HGNC:35425	MORF4L1P5
ENSG00000237963	q11.2	X	65356890	65357547		
ENSG00000102053	q11.2	X	65366638	65507887	HGNC:17407	ZC3H12B
ENSG00000228158	q12	X	65408084	65408672	HGNC:39438	TLE1P1
ENSG00000227534	q12	X	65469087	65470380		
ENSG00000001497	q12	X	65512582	65534787	HGNC:25726	LAS1L
ENSG00000227942	q12	X	65550898	65552421	HGNC:24690	FRMD8P1
ENSG00000147065	q12	X	65588377	65741931	HGNC:7373	MSN
ENSG00000231809	q12	X	65772741	65773632	HGNC:23107	NANOGP9
ENSG00000276689	q12	X	65786763	65787169		
ENSG00000233833	q12	X	65794345	65795835	HGNC:3480	ETF1P3
ENSG00000230039	q12	X	65821255	65822249	HGNC:54656	CCNYL5
ENSG00000237311	q12	X	65925836	66001436		
ENSG00000217835	q12	X	65956289	65957196		
ENSG00000274536	q12	X	66015461	66020422	HGNC:54520	MIR223HG
ENSG00000284567	q12	X	66018870	66018979	HGNC:31603	MIR223
ENSG00000155659	q12	X	66021738	66040125	HGNC:17032	VSIG4
ENSG00000215168	q12	X	66055587	66056587		
ENSG00000237294	q12	X	66074835	66076347	HGNC:37942	EIF4BP9
ENSG00000089472	q12	X	66162549	66268867	HGNC:4866	HEPH
ENSG00000231356	q12	X	66360766	66361776		
ENSG00000226820	q12	X	66437345	66440668		
ENSG00000235892	q12	X	66497748	66499424	HGNC:44244	PKMP2
ENSG00000131080	q12	X	66595637	66639298	HGNC:17756	EDA2R
ENSG00000222667	q12	X	66676258	66676364	HGNC:47357	RNU6-394P
ENSG00000226280	q12	X	67373573	67375520		
ENSG00000233710	q12	X	67533163	67533987		
ENSG00000169083	q12	X	67544021	67730619	HGNC:644	AR
ENSG00000234201	q12	X	67791955	67792895	HGNC:51428	BMI1P1
ENSG00000260118	q12	X	68013470	68014901		
ENSG00000079482	q12	X	68042344	68433913	HGNC:8148	OPHN1
ENSG00000228328	q12	X	68070520	68071767		
ENSG00000252145	q12	X	68102068	68102132	HGNC:48188	RNU6-1225P
ENSG00000228125	q12	X	68132868	68133437	HGNC:50797	AKIRIN1P2
ENSG00000206646	q12	X	68361075	68361187		
ENSG00000225925	q12	X	68474710	68476874		
ENSG00000181704	q12	X	68498562	68537282	HGNC:28304	YIPF6
ENSG00000206747	q13.1	X	68539443	68539549	HGNC:47208	RNU6-245P
ENSG00000236735	q13.1	X	68600099	68600473	HGNC:35666	RPL31P63
ENSG00000234463	q13.1	X	68645326	68645527	HGNC:49364	COX6CP12
ENSG00000130052	q13.1	X	68647666	68725842	HGNC:19161	STARD8
ENSG00000232267	q13.1	X	68771322	68772578	HGNC:38676	ACTR3P2
ENSG00000213740	q13.1	X	68783472	68785066	HGNC:32247	SERBP1P1
ENSG00000090776	q13.1	X	68829021	68842160	HGNC:3226	EFNB1
ENSG00000181191	q13.1	X	69160851	69165793	HGNC:16648	PJA1
ENSG00000172186	q13.1	X	69174124	69174717	HGNC:39379	HMGN1P35
ENSG00000215162	q13.1	X	69179557	69209924	HGNC:26586	LINC00269
ENSG00000231706	q13.1	X	69485343	69485652	HGNC:24417	CYCSP43
ENSG00000130054	q13.1	X	69504326	69532508	HGNC:30701	FAM155B
ENSG00000228160	q13.1	X	69569635	69576337		
ENSG00000158813	q13.1	X	69616067	70039472	HGNC:3157	EDA
ENSG00000285776	q13.1	X	69672479	69672597		
ENSG00000212434	q13.1	X	69692956	69693155		
ENSG00000233229	q13.1	X	69937166	69938017	HGNC:44248	CNOT7P1
ENSG00000211991	q13.1	X	70022857	70022923	HGNC:38880	MIR676
ENSG00000286077	q13.1	X	70037840	70039325		
ENSG00000147160	q13.1	X	70040542	70049938	HGNC:23251	AWAT2
ENSG00000189401	q13.1	X	70062457	70064179	HGNC:32312	OTUD6A
ENSG00000226579	q13.1	X	70120353	70121474	HGNC:51997	MTCYBP31
ENSG00000235382	q13.1	X	70124972	70129071	HGNC:42218	MTND4P31
ENSG00000089289	q13.1	X	70133447	70166324	HGNC:5461	IGBP1
ENSG00000220925	q13.1	X	70148582	70149654	HGNC:40294	IGBP1-AS2
ENSG00000203588	q13.1	X	70163842	70165206	HGNC:40295	IGBP1-AS1
ENSG00000184210	q13.1	X	70177483	70205704	HGNC:23250	DGAT2L6
ENSG00000242657	q13.1	X	70222006	70222314	HGNC:46597	RN7SL581P
ENSG00000204195	q13.1	X	70234655	70240659	HGNC:23252	AWAT1
ENSG00000200473	q13.1	X	70253042	70253162	HGNC:43407	RNA5SP507
ENSG00000186912	q13.1	X	70258170	70259764	HGNC:8542	P2RY4
ENSG00000120500	q13.1	X	70268305	70281840	HGNC:710	ARR3
ENSG00000147127	q13.1	X	70282093	70285002	HGNC:18293	RAB41
ENSG00000120509	q13.1	X	70286595	70290514	HGNC:28034	PDZD11
ENSG00000090889	q13.1	X	70290104	70420886	HGNC:13339	KIF4A
ENSG00000231053	q13.1	X	70361486	70362374		
ENSG00000201377	q13.1	X	70396279	70396375	HGNC:42473	RNY4P23
ENSG00000130055	q13.1	X	70423031	70433390	HGNC:25974	GDPD2
ENSG00000284391	q13.1	X	70427450	70435350		
ENSG00000082458	q13.1	X	70444835	70505490	HGNC:2902	DLG3
ENSG00000200431	q13.1	X	70450879	70451022	HGNC:47017	RNU4-81P
ENSG00000231651	q13.1	X	70452958	70455994	HGNC:40182	DLG3-AS1
ENSG00000120498	q13.1	X	70528940	70908731	HGNC:11733	TEX11
ENSG00000230187	q13.1	X	70672895	70673515		
ENSG00000277492	q13.1	X	70846079	70846295		
ENSG00000280704	q13.1	X	70846080	70846295	HGNC:52238	SNORD3E
ENSG00000213747	q13.1	X	70857163	70857502		
ENSG00000165349	q13.1	X	70925579	70931125	HGNC:11061	SLC7A3
ENSG00000230629	q13.1	X	70962964	70963293	HGNC:35982	RPS23P8
ENSG00000229324	q13.1	X	71016531	71016905	HGNC:50458	NUTF2P7
ENSG00000212605	q13.1	X	71020275	71020438	HGNC:48398	RNU1-56P
ENSG00000227536	q13.1	X	71043214	71045470	HGNC:44600	SOCS5P4
ENSG00000147164	q13.1	X	71056332	71073426	HGNC:14976	SNX12
ENSG00000184481	q13.1	X	71095851	71103532	HGNC:7139	FOXO4
ENSG00000204165	q13.1	X	71103889	71106788	HGNC:33713	CXorf65
ENSG00000285171	q13.1	X	71103987	71111575		
ENSG00000147168	q13.1	X	71107404	71112108	HGNC:6010	IL2RG
ENSG00000184634	q13.1	X	71118556	71142454	HGNC:11957	MED12
ENSG00000196338	q13.1	X	71144831	71171201	HGNC:14289	NLGN3
ENSG00000228427	q13.1	X	71183384	71198208		
ENSG00000169562	q13.1	X	71212811	71225516	HGNC:4283	GJB1
ENSG00000147130	q13.1	X	71239624	71255146	HGNC:13054	ZMYM3
ENSG00000147140	q13.1	X	71283192	71301168	HGNC:7871	NONO
ENSG00000147166	q13.1	X	71301750	71305371	HGNC:6154	ITGB1BP2
ENSG00000224208	q13.1	X	71314912	71315879		
ENSG00000213706	q13.1	X	71352418	71352988		
ENSG00000147133	q13.1	X	71366264	71532374	HGNC:11535	TAF1
ENSG00000275975	q13.1	X	71368666	71368968		
ENSG00000229601	q13.1	X	71413834	71414086		
ENSG00000213018	q13.1	X	71420083	71420514		
ENSG00000199751	q13.1	X	71491066	71491167		
ENSG00000243468	q13.1	X	71491682	71492928	HGNC:6064	INGX
ENSG00000215120	q13.1	X	71527814	71530225		
ENSG00000147162	q13.1	X	71533104	71575892	HGNC:8127	OGT
ENSG00000147174	q13.1	X	71578411	71613583	HGNC:15805	GCNA
ENSG00000186810	q13.1	X	71615916	71618511	HGNC:4540	CXCR3
ENSG00000237265	q13.1	X	71662998	71666767		
ENSG00000283599	q13.1	X	71667542	71671524		
ENSG00000230934	q13.1	X	71691932	71692179		
ENSG00000281852	q13.1	X	71697196	71706455	HGNC:48577	LINC00891
ENSG00000215115	q13.1	X	71714371	71718151	HGNC:30891	CXorf49
ENSG00000226870	q13.1	X	71719142	71721278		
ENSG00000237182	q13.1	X	71736454	71736703		
ENSG00000237717	q13.1	X	71744828	71745077		
ENSG00000234442	q13.1	X	71760764	71763075		
ENSG00000215113	q13.1	X	71763424	71767204	HGNC:34229	CXorf49B
ENSG00000224617	q13.1	X	71789386	71789636		
ENSG00000229030	q13.1	X	71848775	71849004		
ENSG00000283178	q13.1	X	71869763	71873295		
ENSG00000204131	q13.1	X	71910818	72161750	HGNC:33737	NHSL2
ENSG00000201392	q13.1	X	71965972	71966074	HGNC:48041	RNU6-1078P
ENSG00000196933	q13.1	X	72044545	72044892	HGNC:31817	RPS26P11
ENSG00000242732	q13.1	X	72127110	72131901	HGNC:29430	RTL5
ENSG00000225471	q13.1	X	72159845	72160346		
ENSG00000102309	q13.1	X	72181353	72302926	HGNC:8992	PIN4
ENSG00000239577	q13.1	X	72198712	72199050	HGNC:46404	RN7SL388P
ENSG00000186871	q13.1	X	72204657	72239027	HGNC:20794	ERCC6L
ENSG00000198034	q13.1	X	72255679	72277248	HGNC:10424	RPS4X
ENSG00000238926	q13.1	X	72284945	72285045		
ENSG00000125931	q13.1	X	72301638	72307187	HGNC:1986	CITED1
ENSG00000285547	q13.1	X	72301691	72572843		
ENSG00000147099	q13.1	X	72329516	72573101	HGNC:13315	HDAC8
ENSG00000222810	q13.1	X	72376979	72377169	HGNC:48561	RNU2-68P
ENSG00000067177	q13.1	X	72578814	72714319	HGNC:8925	PHKA1
ENSG00000225858	q13.1	X	72660470	72660719		
ENSG00000231944	q13.1	X	72688950	72712348	HGNC:40446	PHKA1-AS1
ENSG00000273788	q13.1	X	72726122	72726337		
ENSG00000213698	q13.1	X	72727977	72728821	HGNC:54564	CAPZA1P3
ENSG00000201271	q13.1	X	72740706	72740869	HGNC:48454	RNU1-112P
ENSG00000184911	q13.1	X	72777009	72848802	HGNC:31686	DMRTC1B
ENSG00000269911	q13.1	X	72777608	72779097	HGNC:31964	FAM226B
ENSG00000268994	q13.1	X	72781865	72782660	HGNC:52640	FAM236B
ENSG00000225396	q13.1	X	72807425	72808210	HGNC:52642	FAM236D
ENSG00000269502	q13.1	X	72872025	72943814	HGNC:13910	DMRTC1
ENSG00000283594	q13.1	X	72912615	72913401	HGNC:52641	FAM236C
ENSG00000275520	q13.1	X	72938163	72938958	HGNC:44268	FAM236A
ENSG00000226725	q13.2	X	72998388	73002856	HGNC:50345	PABPC1L2B-AS1
ENSG00000184388	q13.2	X	73002939	73006106	HGNC:31852	PABPC1L2B
ENSG00000186288	q13.2	X	73077276	73079512	HGNC:27989	PABPC1L2A
ENSG00000231963	q13.2	X	73080167	73084635		
ENSG00000204118	q13.2	X	73126037	73128080	HGNC:31706	NAP1L6P
ENSG00000186462	q13.2	X	73212299	73214851	HGNC:7638	NAP1L2
ENSG00000230311	q13.2	X	73223124	73223558	HGNC:50522	TOMM20P4
ENSG00000237014	q13.2	X	73237647	73238709		
ENSG00000225664	q13.2	X	73274785	73275515	HGNC:39029	YWHAZP8
ENSG00000207486	q13.2	X	73397531	73397637	HGNC:48007	RNU6-1044P
ENSG00000131264	q13.2	X	73447254	73455245	HGNC:1808	CDX4
ENSG00000233162	q13.2	X	73474563	73474830	HGNC:39258	MORF4L1P6
ENSG00000269904	q13.2	X	73524275	73563085	HGNC:43837	MAP2K4P1
ENSG00000237475	q13.2	X	73535503	73536241	HGNC:36831	RPL7P53
ENSG00000204116	q13.2	X	73563200	73687102	HGNC:1934	CHIC1
ENSG00000230146	q13.2	X	73769248	73770423	HGNC:42169	SEPHS1P4
ENSG00000270641	q13.2	X	73792205	73829231	HGNC:12377	TSIX
ENSG00000229807	q13.2	X	73820649	73852723	HGNC:12810	XIST
ENSG00000274655	q13.2	X	73821657	73821724		
ENSG00000277577	q13.2	X	73831145	73831270		
ENSG00000278039	q13.2	X	73850487	73850571		
ENSG00000182707	q13.2	X	73875068	73875635	HGNC:31124	FXYD6P3
ENSG00000230590	q13.2	X	73940435	74293574	HGNC:37190	FTX
ENSG00000225470	q13.2	X	73944182	74070408	HGNC:37191	JPX
ENSG00000274430	q13.2	X	73944332	73944466		
ENSG00000276784	q13.2	X	73944595	73944663		
ENSG00000228906	q13.2	X	73948973	73949558		
ENSG00000271199	q13.2	X	73958059	73969485		
ENSG00000233984	q13.2	X	74031462	74031820	HGNC:6506	RPSAP14
ENSG00000203397	q13.2	X	74066083	74066592		
ENSG00000234969	q13.2	X	74069276	74070832		
ENSG00000223650	q13.2	X	74105572	74107958	HGNC:39565	UHRF2P1
ENSG00000232928	q13.2	X	74121012	74131923	HGNC:42171	DDX3P1
ENSG00000280375	q13.2	X	74122134	74122725		
ENSG00000230986	q13.2	X	74133004	74133114	HGNC:42172	DDX3P2
ENSG00000224430	q13.2	X	74161062	74162528	HGNC:7117	MKRN5P
ENSG00000231549	q13.2	X	74173890	74174066	HGNC:31716	ATP5MDP1
ENSG00000204113	q13.2	X	74185929	74187153	HGNC:17080	BMP2KL
ENSG00000228492	q13.2	X	74202834	74204595	HGNC:42366	RAB11FIP1P1
ENSG00000271533	q13.2	X	74209976	74213660		
ENSG00000202566	q13.2	X	74218377	74218461	HGNC:32793	MIR421
ENSG00000212027	q13.2	X	74218547	74218618	HGNC:33665	MIR374B
ENSG00000283534	q13.2	X	74218549	74218618	HGNC:38907	MIR374C
ENSG00000265727	q13.2	X	74242608	74242908	HGNC:46664	RN7SL648P
ENSG00000278421	q13.2	X	74274341	74274411		
ENSG00000273974	q13.2	X	74280402	74280495		
ENSG00000275254	q13.2	X	74280936	74281082		
ENSG00000275625	q13.2	X	74281703	74281849		
ENSG00000207820	q13.2	X	74287104	74287209	HGNC:32531	MIR545
ENSG00000199168	q13.2	X	74287286	74287357	HGNC:31788	MIR374A
ENSG00000277922	q13.2	X	74293357	74293574		
ENSG00000187969	q13.2	X	74304180	74305034	HGNC:31749	ZCCHC13
ENSG00000226515	q13.2	X	74342713	74342860		
ENSG00000213269	q13.2	X	74376125	74376885		
ENSG00000239745	q13.2	X	74390692	74390989	HGNC:46806	RN7SL790P
ENSG00000230665	q13.2	X	74396871	74399550	HGNC:39563	THAP12P1
ENSG00000213695	q13.2	X	74409518	74410100	HGNC:36602	RPS7P14
ENSG00000147100	q13.2	X	74421493	74533917	HGNC:10923	SLC16A2
ENSG00000231206	q13.2	X	74473017	74473953	HGNC:39543	HNRNPA1P25
ENSG00000131263	q13.2	X	74582976	74614624	HGNC:13429	RLIM
ENSG00000230673	q13.2	X	74583088	74583546	HGNC:8560	PABPC1P3
ENSG00000199885	q13.2	X	74680053	74680159	HGNC:47293	RNU6-330P
ENSG00000050030	q13.3	X	74732856	74925472	HGNC:29433	NEXMIF
ENSG00000271589	q13.3	X	74769639	74769798		
ENSG00000131269	q13.3	X	75051048	75156732	HGNC:48	ABCB7
ENSG00000094841	q13.3	X	75156388	75304885	HGNC:28334	UPRT
ENSG00000229661	q13.3	X	75201491	75201790	HGNC:51562	BUD31P2
ENSG00000199601	q13.3	X	75202703	75202809	HGNC:47525	RNU6-562P
ENSG00000232186	q13.3	X	75326772	75327999	HGNC:54603	TERF1P7
ENSG00000102383	q13.3	X	75368427	75523502	HGNC:20342	ZDHHC15
ENSG00000233254	q13.3	X	75384346	75384828	HGNC:36006	RPL21P134
ENSG00000237089	q13.3	X	75537547	75538702	HGNC:41976	PCNPP4
ENSG00000224775	q13.3	X	75582676	75585506	HGNC:18615	BRAFP1
ENSG00000215105	q13.3	X	75740831	75746911	HGNC:23318	TTC3P1
ENSG00000186675	q13.3	X	75782987	75785254	HGNC:24935	MAGEE2
ENSG00000233063	q13.3	X	75884546	75885136	HGNC:37638	SAR1AP4
ENSG00000226753	q13.3	X	75888700	75888888		
ENSG00000226854	q13.3	X	75903105	75904858		
ENSG00000232332	q13.3	X	76029895	76030330		
ENSG00000102390	q13.3	X	76173040	76178314	HGNC:28790	PBDC1
ENSG00000237252	q13.3	X	76222637	76223097		
ENSG00000201826	q13.3	X	76244968	76245074	HGNC:47830	RNU6-867P
ENSG00000274398	q13.3	X	76250183	76251796		
ENSG00000213684	q13.3	X	76334841	76335845	HGNC:6543	LDHBP2
ENSG00000198934	q13.3	X	76427710	76431342	HGNC:24934	MAGEE1
ENSG00000223259	q13.3	X	76655009	76655127	HGNC:43408	RNA5SP508
ENSG00000235447	q13.3	X	76655498	76656559	HGNC:50347	TRAPPC13P1
ENSG00000280870	q21.1	X	76656866	77014532		
ENSG00000283242	q21.1	X	76919273	76919360	HGNC:31878	MIR384
ENSG00000207995	q21.1	X	77005404	77005501	HGNC:31768	MIR325
ENSG00000201447	q21.1	X	77066709	77066827	HGNC:43409	RNA5SP509
ENSG00000234404	q21.1	X	77374212	77381319	HGNC:52300	SPRYD7P1
ENSG00000196468	q21.1	X	77447389	77457278	HGNC:3672	FGF16
ENSG00000085224	q21.1	X	77504880	77786233	HGNC:886	ATRX
ENSG00000237106	q21.1	X	77727867	77728080	HGNC:31071	FABP5P15
ENSG00000102158	q21.1	X	77825747	77895593	HGNC:28880	MAGT1
ENSG00000200906	q21.1	X	77837289	77837395	HGNC:47817	RNU6-854P
ENSG00000263410	q21.1	X	77885377	77885634	HGNC:46476	RN7SL460P
ENSG00000131174	q21.1	X	77899440	77907376	HGNC:2291	COX7B
ENSG00000165240	q21.1	X	77910656	78050395	HGNC:869	ATP7A
ENSG00000102144	q21.1	X	77910739	78129295	HGNC:8896	PGK1
ENSG00000248503	q21.1	X	77910741	77964890		
ENSG00000226784	q21.1	X	77967949	77969638	HGNC:21731	PGAM4
ENSG00000187325	q21.1	X	78129748	78139650	HGNC:17306	TAF9B
ENSG00000223592	q21.1	X	78165696	78172422	HGNC:35452	FNDC3CP
ENSG00000173198	q21.1	X	78271468	78327691	HGNC:17451	CYSLTR1
ENSG00000224755	q21.1	X	78519593	78520186	HGNC:39378	HMGN1P34
ENSG00000235061	q21.1	X	78554412	78554751	HGNC:44890	UBE2V1P7
ENSG00000179300	q21.1	X	78656068	78659328	HGNC:22997	RTL3
ENSG00000271433	q21.1	X	78699384	78699891	HGNC:48738	PPATP2
ENSG00000147145	q21.1	X	78747709	78757094	HGNC:4478	LPAR4
ENSG00000227645	q21.1	X	78763226	78763899	HGNC:36817	RPL7P54
ENSG00000283622	q21.1	X	78901194	78901249	HGNC:38280	MIR4328
ENSG00000078589	q21.1	X	78945332	78963727	HGNC:19906	P2RY10
ENSG00000232168	q21.1	X	79084936	79085848	HGNC:32924	P2RY10BP
ENSG00000147138	q21.1	X	79144663	79175315	HGNC:30245	GPR174
ENSG00000271005	q21.1	X	79177200	79177668	HGNC:50463	CTHRC1P1
